"innovation_challenge_key","renewed_yorn","top_vertical_market_name","four_quarter_bookings_band","service_fee_amount","software_usage_type","product_type","service_sales_node_base_sub_scms_name","product_sales_channel_code","contract_line_multi_year_discount_yorn","service_contract_classification","installed_product_type","finalPredictions","Prediction"
6377987,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
6019776,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
380293,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
4366777,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
7840051,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
7562698,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
6705850,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
6421723,"N",8,4,-0.126728629032879,4,3,2,9,1,1,1,"N","Correct"
1775288,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
3206542,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
406430,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
6798952,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
465622,"N",8,4,-0.126728629032879,4,3,2,9,1,1,1,"N","Correct"
7544065,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
4249202,"N",8,4,-0.126728629032879,3,3,2,8,1,1,1,"N","Correct"
5468976,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
7115868,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
7377915,"N",8,4,-0.0986387877835567,3,3,2,9,1,1,1,"N","Correct"
418549,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
819940,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
2310171,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
150604,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
5600016,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
4982290,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
7729751,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
7404808,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
87742,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
2013636,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
4309314,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
2395029,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
5771313,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
4901552,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
2403128,"Y",9,1,-0.126728629032879,1,4,1,1,2,1,1,"Y","Correct"
2812449,"Y",9,1,-0.126728629032879,5,10,1,1,2,1,1,"Y","Correct"
1162934,"Y",9,1,-0.126728629032879,5,5,1,1,2,1,1,"Y","Correct"
522282,"Y",9,1,-0.126728629032879,1,13,1,1,2,1,1,"Y","Correct"
2403131,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
685240,"Y",9,1,-0.126728629032879,1,4,1,1,2,1,1,"Y","Correct"
1162935,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
522280,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
2403127,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
2927648,"Y",9,1,-0.126728629032879,1,4,1,1,2,1,1,"Y","Correct"
1162930,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
522284,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
2403126,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
2927644,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
1162931,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
522279,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
2403129,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
2927647,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
1162933,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
522281,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
3113822,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
2927645,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
215139,"Y",9,1,-0.126728629032879,1,16,1,1,1,1,1,"Y","Correct"
522283,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
3113818,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
2812452,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
215136,"Y",9,1,-0.126728629032879,1,16,1,1,1,1,1,"Y","Correct"
3113820,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
2812451,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
215141,"Y",9,1,-0.126728629032879,1,16,1,1,2,1,1,"Y","Correct"
3113817,"Y",9,1,-0.126728629032879,1,13,1,1,2,1,1,"Y","Correct"
2812450,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
215140,"Y",9,1,-0.126728629032879,1,16,1,1,1,1,1,"Y","Correct"
3113821,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
685241,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
215137,"Y",9,1,-0.126728629032879,1,16,1,1,1,1,1,"Y","Correct"
2403130,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
685239,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
1162932,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
3113819,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
685243,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
215138,"Y",9,1,-0.126728629032879,1,16,1,1,1,1,1,"Y","Correct"
7695059,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
2927649,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
81,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
7695061,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
2812448,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
82,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
7695057,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
685242,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
80,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
7695058,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
2020729,"Y",9,1,-0.126728629032879,5,5,1,1,2,1,1,"Y","Correct"
78,"Y",9,1,0.568829344759865,1,17,1,9,2,1,2,"Y","Correct"
7695062,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
2020728,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
79,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
7695060,"Y",9,1,-0.126728629032879,1,6,1,9,2,1,2,"Y","Correct"
2020725,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
83,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
2020727,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
2020726,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
2927646,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
2812453,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
685238,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
2020730,"Y",9,1,-0.126728629032879,5,5,1,1,1,1,1,"Y","Correct"
7847456,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7847452,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7847453,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7847454,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7847451,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7847455,"Y",9,1,-0.126728629032879,1,6,1,9,2,1,2,"Y","Correct"
1049474,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
831350,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
3265692,"Y",8,5,-0.126728629032879,1,1,2,8,1,1,1,"Y","Correct"
1732811,"Y",8,5,-0.126728629032879,1,4,2,8,1,1,2,"Y","Correct"
2751785,"Y",8,5,-0.126728629032879,1,1,2,8,1,1,1,"Y","Correct"
487417,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
1320329,"Y",8,5,-0.126728629032879,3,5,2,8,1,1,1,"Y","Correct"
5303469,"Y",8,5,-0.126728629032879,1,4,2,8,1,1,2,"Y","Correct"
4110553,"Y",8,5,-0.126728629032879,1,4,2,8,1,1,2,"Y","Correct"
5700693,"Y",8,5,-0.126728629032879,1,16,2,8,1,1,2,"Y","Correct"
1798588,"Y",8,5,-0.126728629032879,1,16,2,8,1,1,2,"Y","Correct"
6439512,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
4698982,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
2127815,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
114,"Y",8,5,1.79541907931361,1,8,2,8,1,1,2,"Y","Correct"
6632715,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
4489389,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
1158939,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
4980179,"Y",8,5,-0.126728629032879,1,8,2,8,1,1,2,"Y","Correct"
755050,"Y",8,5,-0.126728629032879,1,1,2,8,1,1,1,"Y","Correct"
2476338,"Y",9,3,-0.126728629032879,1,16,1,3,1,1,2,"Y","Correct"
7780382,"Y",9,3,-0.126728629032879,1,7,1,3,1,1,1,"Y","Correct"
7295869,"N",9,3,-0.126728629032879,1,5,1,3,1,1,1,"N","Correct"
2902659,"Y",9,3,-0.126728629032879,1,10,1,3,1,1,1,"Y","Correct"
2476337,"N",9,3,-0.126728629032879,1,16,1,3,1,1,2,"N","Correct"
7780383,"N",9,3,-0.126728629032879,1,7,1,3,1,1,1,"N","Correct"
7295868,"Y",9,3,-0.126728629032879,1,5,1,3,1,1,1,"Y","Correct"
6138849,"Y",9,3,-0.126728629032879,1,1,1,3,1,1,1,"Y","Correct"
5579382,"N",9,3,-0.126728629032879,1,16,1,8,1,1,2,"N","Correct"
1471200,"Y",9,3,-0.126728629032879,1,7,1,8,1,1,1,"Y","Correct"
2902658,"N",9,3,-0.126728629032879,1,10,1,3,1,1,1,"Y","Incorrect"
5579381,"Y",9,3,-0.126728629032879,1,16,1,8,1,1,2,"Y","Correct"
1471201,"N",9,3,-0.126728629032879,1,7,1,8,1,1,1,"N","Correct"
6138848,"N",9,3,-0.126728629032879,1,1,1,3,1,1,1,"N","Correct"
