"innovation_challenge_key","renewed_yorn","top_vertical_market_name","four_quarter_bookings_band","service_fee_amount","software_usage_type","product_type","service_sales_node_base_sub_scms_name","product_sales_channel_code","contract_line_multi_year_discount_yorn","service_contract_classification","installed_product_type","finalPredictions","Prediction"
6019776,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
4366777,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
7840051,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
6421723,"N",8,4,-0.126728629032879,4,3,2,9,1,1,1,"N","Correct"
406430,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
5468976,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
819940,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
2310171,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
4982290,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
5771313,"N",8,4,-0.126728629032879,3,3,2,9,1,1,1,"N","Correct"
4901552,"N",8,4,-0.126728629032879,3,3,2,9,1,1,2,"N","Correct"
1162934,"Y",9,1,-0.126728629032879,5,5,1,1,2,1,1,"Y","Correct"
685240,"Y",9,1,-0.126728629032879,1,4,1,1,2,1,1,"Y","Correct"
2927648,"Y",9,1,-0.126728629032879,1,4,1,1,2,1,1,"Y","Correct"
215136,"Y",9,1,-0.126728629032879,1,16,1,1,1,1,1,"Y","Correct"
2812450,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
3113819,"Y",9,1,-0.126728629032879,1,13,1,1,1,1,1,"Y","Correct"
7695059,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
81,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
2812448,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
82,"Y",9,1,0.568829344759865,1,17,1,9,1,1,2,"Y","Correct"
7695057,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7695058,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
78,"Y",9,1,0.568829344759865,1,17,1,9,2,1,2,"Y","Correct"
2812453,"Y",9,1,-0.126728629032879,5,10,1,1,1,1,1,"Y","Correct"
685238,"Y",9,1,-0.126728629032879,1,4,1,1,1,1,1,"Y","Correct"
7847452,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
7847454,"Y",9,1,-0.126728629032879,1,6,1,9,1,1,2,"Y","Correct"
